CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,400549,214,12857,16,21711,365981,9169,1210,39,2082443,6291
Spain,146690,4748,14555,510,48021,84114,7069,3137,311,355000,7593
Italy,135586,,17127,,24392,94067,3792,2243,283,755445,12495
France,109069,,10328,,19337,79404,7131,1671,158,224254,3436
Germany,107663,,2016,,36081,69566,4895,1285,24,918460,10962
China,81802,62,3333,2,77279,1190,189,57,2,,
Iran,67286,4697,4003,131,27039,36244,3987,801,48,211136,2514
UK,55242,,6159,,135,48948,1559,814,91,266694,3929
Turkey,34109,,725,,1582,31802,1474,404,9,222868,2643
Belgium,23403,1209,2240,205,4681,16482,1276,2019,193,80512,6947
Switzerland,22328,75,824,3,8704,12800,391,2580,95,167429,19346
Netherlands,19580,,2101,,250,17229,1424,1143,123,86589,5053
Canada,17897,,381,,4028,13488,426,474,10,348105,9223
Brazil,14049,15,688,2,127,13234,296,66,3,54824,258
Austria,12734,95,273,30,4512,7949,267,1414,30,120755,13408
Portugal,12442,,345,,184,11913,271,1220,34,121256,11892
S. Korea,10384,53,200,8,6776,3408,55,203,4,477304,9310
Israel,9404,156,71,6,801,8532,147,1086,8,117339,13557
Russia,8672,1175,63,5,580,8029,8,59,0.4,910221,6237
Sweden,7693,,591,,205,6897,640,762,59,54700,5416
Norway,6086,,89,,32,5965,78,1123,16,113896,21009
Australia,6010,22,50,1,2547,3413,89,236,2,318064,12473
Ireland,5709,,210,,25,5474,165,1156,43,42484,8604
Denmark,5386,315,203,,1491,3692,127,930,35,58419,10086
India,5360,9,164,4,468,4728,,4,0.1,140293,102
Chile,5116,,43,,898,4175,337,268,2,57122,2988
Czechia,5033,16,91,3,181,4761,103,470,8,98681,9215
Poland,5000,152,136,7,191,4673,50,132,4,92215,2437
Romania,4417,,209,12,460,3748,274,230,11,43578,2265
Japan,4257,,93,,622,3542,80,34,0.7,55311,437
Malaysia,4119,156,65,2,1487,2567,76,127,2,55566,1717
Pakistan,4072,37,58,1,467,3547,25,18,0.3,42159,191
Ecuador,3995,,220,,140,3635,156,226,12,14406,817
Philippines,3870,106,182,5,96,3592,1,35,2,24500,224
Luxembourg,2970,,44,,500,2426,35,4745,70,25702,41059
Indonesia,2956,218,240,19,222,2494,,11,0.9,14354,52
Peru,2954,,107,,1301,1546,109,90,3,21555,654
Saudi Arabia,2795,,41,,615,2139,41,80,1,,
Mexico,2785,346,141,16,633,2011,89,22,1,25410,197
Finland,2487,179,34,,300,2153,81,449,6,34900,6299
Serbia,2447,,61,,118,2268,109,280,7,9626,1102
Thailand,2369,111,30,3,888,1451,61,34,0.4,71860,1030
UAE,2359,,12,,186,2161,1,239,1,220000,22244
Panama,2249,149,59,4,16,2174,91,521,14,10297,2386
Qatar,2057,,6,,150,1901,37,714,2,41818,14515
Dominican Republic,1956,,98,,36,1822,147,180,9,4542,419
Greece,1832,,81,,269,1482,90,176,8,28584,2742
Colombia,1780,,50,,100,1630,76,35,1,30445,598
South Africa,1749,,13,,95,1641,7,29,0.2,58098,980
Argentina,1715,,60,,338,1317,96,38,1,11778,261
Ukraine,1668,206,52,7,35,1581,33,38,1,7205,165
Iceland,1586,,6,,559,1021,11,4648,18,28991,84957
Singapore,1481,,6,,377,1098,29,253,1,65000,11110
Algeria,1468,,193,,113,1162,46,33,4,3359,77
Egypt,1450,,94,,276,1080,,14,0.9,25000,244
Croatia,1282,,18,,167,1097,35,312,4,12322,3002
New Zealand,1210,50,1,,282,927,4,251,0.2,46875,9721
Estonia,1185,36,24,3,72,1089,11,893,18,24813,18705
Morocco,1184,,90,,93,1001,1,32,2,5437,147
Iraq,1122,,65,,373,684,,28,2,26331,655
Slovenia,1091,32,40,4,120,931,35,525,19,30669,14752
