CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,488980,20414,18009,1318,26187,444784,10896,1477,54,2489786,7522
Spain,157053,3831,15970,523,55668,85415,7371,3359,342,355000,7593
Italy,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999
France,124869,7120,13197,987,24932,86740,7004,1913,202,333807,5114
Germany,119624,1389,2607,,52407,64610,4895,1428,31,1317887,15730
China,81907,42,3336,1,77455,1116,144,57,2,,
UK,73758,8681,8958,980,135,64665,1559,1086,132,316836,4667
Iran,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888
Turkey,47029,4747,1006,98,2423,43600,1667,558,12,307210,3643
Belgium,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269
Switzerland,24551,500,1001,53,10600,12950,386,2837,116,178500,20625
Netherlands,23097,1335,2511,115,250,20336,1424,1348,147,101534,5926
Canada,21281,516,531,22,5580,15170,518,564,14,370315,9812
Brazil,18397,252,974,20,173,17250,296,87,5,62985,296
Portugal,15472,1516,435,26,233,14804,226,1517,43,144000,14122
Austria,13549,305,319,24,6064,7166,261,1504,35,134743,14961
Russia,11917,1786,94,18,795,11028,8,82,0.6,1090000,7469
S. Korea,10450,27,208,4,7117,3125,55,204,4,503051,9812
Israel,10095,127,95,9,1061,8939,164,1166,11,117339,13557
Sweden,9685,544,870,77,381,8434,749,959,86,54700,5416
India,7347,622,229,2,641,6477,,5,0.2,177584,129
Ecuador,7161,2196,297,25,368,6496,171,406,17,21568,1222
Ireland,6574,,263,,25,6286,194,1331,53,53000,10734
Chile,6501,529,65,8,1571,4865,360,340,3,72797,3808
Norway,6298,79,112,4,32,6154,70,1162,21,123170,22720
Australia,6203,51,53,2,3141,3009,74,243,2,338346,13269
Poland,5955,380,181,7,318,5456,160,157,5,118295,3126
Peru,5897,641,169,31,1569,4159,130,179,5,56681,1719
Denmark,5819,184,247,10,1773,3799,113,1005,43,64731,11176
Czechia,5674,105,119,7,346,5209,98,530,11,114854,10725
Japan,5530,183,99,,685,4746,109,44,0.8,64387,509
Romania,5467,265,270,22,729,4468,183,284,14,55430,2881
Pakistan,4695,206,66,1,727,3902,45,21,0.3,54706,248
Malaysia,4346,118,70,3,1830,2446,69,134,2,69675,2153
Philippines,4195,119,221,18,140,3834,1,38,2,24500,224
Saudi Arabia,3651,364,47,3,685,2919,57,105,1,115585,3320
Indonesia,3512,219,306,26,282,2924,,13,1,17679,65
Mexico,3441,260,194,20,633,2614,89,27,2,31492,244
Luxembourg,3223,108,54,2,500,2669,30,5149,86,28273,45166
Serbia,3105,238,71,5,118,2916,136,355,8,14240,1630
UAE,2990,,14,,268,2708,1,302,1,593095,59967
Finland,2769,164,48,6,300,2421,82,500,9,41200,7436
Panama,2752,,66,,16,2670,107,638,15,11776,2729
Dominican Republic,2620,271,126,8,98,2396,147,242,12,7936,732
Qatar,2512,136,6,,227,2279,37,872,2,45339,15737
Thailand,2473,50,33,1,1013,1427,61,35,0.5,71860,1030
Colombia,2223,,69,,174,1980,85,44,1,34910,686
Ukraine,2203,311,69,12,61,2073,33,50,2,23522,538
Singapore,2108,198,7,1,492,1609,29,360,1,72680,12423
Greece,2011,56,91,4,269,1651,77,193,9,35532,3409
South Africa,2003,69,24,6,410,1569,7,34,0.4,73028,1231
Belarus,1981,495,19,3,169,1793,72,210,2,53000,5609
Argentina,1894,,81,2,375,1438,96,42,2,16379,362
Algeria,1761,95,256,21,405,1100,46,40,6,3359,77
Egypt,1699,,118,,348,1233,,17,1,25000,244
Iceland,1675,27,6,,751,918,11,4909,18,34125,100002
Croatia,1495,88,21,1,231,1243,34,364,5,14612,3559
Morocco,1448,74,107,10,122,1219,1,39,3,6854,186
Moldova,1438,149,29,,56,1353,80,356,7,6271,1555
New Zealand,1283,44,2,1,373,908,5,266,0.4,55685,11548
Iraq,1279,47,70,1,550,659,,32,2,32158,800
Estonia,1258,51,24,,93,1141,9,948,18,27883,21019
Hungary,1190,210,77,11,112,1001,17,123,8,29948,3100
Slovenia,1160,36,45,2,137,978,36,558,22,33047,15896
Lithuania,999,44,22,6,54,923,14,367,8,36051,13243
Kuwait,993,83,1,,123,869,26,233,0.2,,
Azerbaijan,991,65,10,1,159,822,27,98,1,61342,6050
Hong Kong,990,16,4,,309,677,15,132,0.5,96709,12900
Armenia,937,16,12,2,149,776,30,316,4,6081,2052
Bahrain,913,26,6,1,530,377,3,537,4,57307,33679
Bosnia and Herzegovina,901,43,36,1,129,736,4,275,11,6911,2106
Kazakhstan,812,31,10,2,64,738,21,43,0.5,61955,3300
Cameroon,803,,12,,61,730,,30,0.5,,
Slovakia,715,14,2,,23,690,5,131,0.4,22957,4205
