CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,367629,625,10941,70,19810,336878,8983,1111,33,1914540,5784
Spain,136675,,13341,,40437,82897,6931,2923,285,355000,7593
Italy,132547,,16523,,22837,93187,3898,2192,273,721732,11937
Germany,103375,,1810,,36081,65484,4895,1234,22,918460,10962
France,98010,,8911,,17250,71849,7072,1502,137,224254,3436
China,81740,32,3331,,77167,1242,211,57,2,,
Iran,60500,,3739,,24236,32525,4083,720,45,186000,2214
UK,51608,,5373,,135,46100,1559,760,79,252958,3726
Turkey,30217,,649,,1326,28242,1415,358,8,202845,2405
Switzerland,21657,,765,,8056,12836,391,2502,88,162500,18776
Belgium,20814,,1632,,3986,15196,1257,1796,141,70000,6040
Netherlands,18803,,1867,,250,16686,1409,1097,109,86589,5053
Canada,16667,,323,,3616,12728,426,442,9,330901,8767
Austria,12297,,220,,3463,8614,250,1365,24,111296,12357
Brazil,12232,49,566,2,127,11539,296,58,3,54824,258
Portugal,11730,,311,,140,11279,270,1150,31,110000,10788
S. Korea,10331,47,192,6,6694,3445,55,202,4,461233,8996
Israel,8904,,57,,585,8262,140,1029,7,109724,12677
Sweden,7206,,477,,205,6524,590,714,47,36900,3654
Russia,6343,,47,,406,5890,8,43,0.3,758000,5194
Australia,5895,,45,,2432,3418,96,231,2,303536,11903
Norway,5865,,76,,32,5757,83,1082,14,111299,20530
Ireland,5364,,174,,25,5165,165,1086,35,30213,6119
Czechia,4822,,78,,121,4623,84,450,7,85014,7939
Chile,4815,,37,,728,4050,327,252,2,54864,2870
India,4778,,136,,382,4260,,3,0.1,140293,102
Denmark,4681,,187,,1378,3116,144,808,32,52936,9139
Poland,4413,,107,,162,4144,50,117,3,85467,2258
Romania,4057,,176,,406,3475,179,211,9,40987,2131
Japan,3906,,92,,592,3222,64,31,0.7,46172,365
Malaysia,3793,,62,,1241,2490,102,117,2,55566,1717
Pakistan,3766,,53,,259,3454,17,17,0.2,35875,162
Ecuador,3747,,191,,100,3456,156,212,11,13039,739
Philippines,3660,,163,,73,3424,1,33,1,22958,210
Luxembourg,2843,,41,,500,2302,33,4542,65,24291,38805
Saudi Arabia,2605,,38,,551,2016,41,75,1,,
Peru,2561,,92,,997,1472,89,78,3,20414,619
Indonesia,2491,,209,,192,2090,,9,0.8,11460,42
Mexico,2439,296,125,31,633,1681,89,19,1,20475,159
Thailand,2220,,26,,793,1401,23,32,0.4,25071,359
Serbia,2200,,58,,118,2024,101,252,7,8552,979
Finland,2176,,27,,300,1849,81,393,5,32800,5920
Panama,2100,,55,,14,2031,88,487,13,10297,2386
UAE,2076,,11,,167,1898,1,210,1,220000,22244
Qatar,1832,,4,,131,1697,37,636,1,38108,13227
Dominican Republic,1828,,86,,33,1709,147,169,8,4542,419
Greece,1755,,79,,269,1407,90,168,8,26193,2513
South Africa,1686,,12,,95,1579,7,28,0.2,58098,980
Argentina,1628,,53,,325,1250,94,36,1,10709,237
Colombia,1579,,46,,88,1445,50,31,0.9,27685,544
Iceland,1562,,6,,460,1096,11,4577,18,27880,81701
Algeria,1423,,173,,90,1160,46,32,4,3359,77
Singapore,1375,,6,,344,1025,25,235,1,65000,11110
Egypt,1322,,85,,259,978,,13,0.8,25000,244
Ukraine,1319,,38,,28,1253,16,30,0.9,5864,134
Croatia,1222,,16,,130,1076,36,298,4,11464,2793
New Zealand,1160,54,1,,241,918,4,241,0.2,42826,8881
Morocco,1120,,80,,81,959,1,30,2,5104,138
Estonia,1108,,19,,62,1027,14,835,14,21866,16484
Iraq,1031,,64,,344,623,,26,2,,
Slovenia,1021,,30,,102,889,30,491,14,28253,13590
Moldova,965,,19,,37,909,80,239,5,,
Hong Kong,915,,4,,216,695,12,122,0.5,96709,12900
Lithuania,843,,15,,8,820,11,310,6,25599,9403
Armenia,833,,8,,62,763,30,281,3,4929,1663
Bahrain,756,,4,,458,294,4,444,2,47684,28023
Hungary,744,,38,,67,639,17,77,4,22282,2307
Diamond Princess,712,,11,,619,82,10,,,,
Belarus,700,,13,,53,634,11,74,1,40000,4233
Bosnia and Herzegovina,674,,29,,47,598,4,205,9,5934,1809
Kazakhstan,670,8,6,,46,618,16,36,0.3,5093,271
Kuwait,665,,1,,103,561,20,156,0.2,,
Cameroon,658,,9,,17,632,,25,0.3,,
Azerbaijan,641,,7,,44,590,11,63,0.7,45000,4438
Tunisia,596,,22,,5,569,39,50,2,7725,654
North Macedonia,570,,23,,30,517,15,274,11,5291,2540
Bulgaria,549,,22,,39,488,26,79,3,15899,2288
Latvia,542,,1,,16,525,5,287,0.5,21453,11374
Lebanon,541,,19,,60,462,27,79,3,9653,1414
Slovakia,534,,2,,8,524,3,98,0.4,16191,2966
Andorra,525,,21,,31,473,12,6795,272,,
Costa Rica,467,,2,,18,447,14,92,0.4,5363,1053
Cyprus,465,,9,,45,411,11,385,7,11664,9661
Uzbekistan,457,,2,,30,425,8,14,0.06,,
Uruguay,415,,6,,123,286,14,119,2,5385,1550
Albania,377,,21,,116,240,7,131,7,2571,893
Taiwan,373,,5,,57,311,,16,0.2,37219,1563
Afghanistan,367,,11,,18,338,,9,0.3,,
Burkina Faso,364,,18,,108,238,,17,0.9,,
Cuba,350,,9,,18,323,12,31,0.8,5234,462
Jordan,349,,6,,126,217,5,34,0.6,17000,1666
Reunion,349,,,,40,309,4,390,,,
Oman,331,,2,,61,268,3,65,0.4,,
Channel Islands,323,,7,,27,289,,1858,40,1157,6655
Ivory Coast,323,,3,,41,279,,12,0.1,,
Honduras,305,7,22,,6,277,10,31,2,,
Ghana,287,73,5,,31,251,2,9,0.2,,
San Marino,277,,32,,35,210,14,8164,943,586,17270
Palestine,254,,1,,24,229,,50,0.2,12738,2497
Niger,253,,10,,26,217,,10,0.4,4081,169
Vietnam,245,,,,95,150,8,3,,94305,969
Mauritius,244,,7,,7,230,2,192,6,4913,3863
Malta,241,,,,5,236,3,546,,10923,24738
Nigeria,238,,5,,35,198,2,1,0.02,5000,24
Montenegro,233,,2,,1,230,4,371,3,1722,2742
Kyrgyzstan,228,12,4,,33,191,5,35,0.6,9618,1474
Senegal,226,,2,,92,132,1,13,0.1,,
Bolivia,194,11,14,3,2,178,3,17,1,591,51
Georgia,188,,2,,39,147,6,47,0.5,2762,692
Faeroe Islands,183,,,,107,76,1,3745,,4934,100976
Sri Lanka,178,,5,,38,135,5,8,0.2,3248,152
Venezuela,165,,7,,65,93,6,6,0.2,1779,63
Mayotte,164,,2,,15,147,3,601,7,479,1756
DRC,161,,18,,5,138,,2,0.2,,
Kenya,158,,6,,4,148,2,3,0.1,4277,80
Martinique,151,,4,,50,97,20,402,11,,
Guadeloupe,139,,7,,31,101,14,347,17,,
Isle of Man,139,,1,,55,83,,1635,12,1638,19263
Brunei,135,,1,,82,52,3,309,2,8261,18883
Guinea,128,,,,5,123,,10,,,
Bangladesh,123,,12,,33,78,1,0.7,0.07,3610,22
Paraguay,115,2,5,,15,95,1,16,0.7,1877,263
Cambodia,115,1,,,58,57,1,7,,5768,345
Gibraltar,109,,,,52,57,,3235,,1387,41168
Trinidad and Tobago,105,,8,,1,96,,75,6,833,595
Rwanda,105,,,,4,101,,8,,,
Djibouti,90,,,,9,81,,91,,,
Madagascar,82,,,,2,80,6,3,,,
El Salvador,78,9,4,,5,69,4,12,0.6,,
Liechtenstein,77,,1,,55,21,,2020,26,900,23605
Monaco,77,,1,,4,72,4,1962,25,,
Guatemala,74,4,3,,17,54,3,4,0.2,1134,63
French Guiana,72,,,,34,38,1,241,,,
Aruba,71,,,,2,69,,665,,910,8523
Barbados,60,,2,,6,52,4,209,7,557,1938
Jamaica,59,,3,,8,48,,20,1,540,182
Togo,58,,3,,23,32,,7,0.4,1467,177
Uganda,52,,,,,52,,1,,3160,69
Mali,47,,5,,9,33,,2,0.2,,
Congo,45,,5,,2,38,,8,0.9,,
Ethiopia,44,,2,,4,38,1,0.4,0.02,1843,16
Macao,44,,,,10,34,1,68,,,
French Polynesia,42,,,,,42,,150,,618,2200
Bermuda,39,,2,,17,20,,626,32,298,4785
Cayman Islands,39,,1,,1,37,,593,15,365,5554
Zambia,39,,1,,5,33,,2,0.05,619,34
Sint Maarten,37,,6,,1,30,,863,140,105,2449
Bahamas,33,,5,,5,23,1,84,13,,
Saint Martin,32,,2,,7,23,6,828,52,,
Guyana,31,,5,1,8,18,8,39,6,115,146
Eritrea,31,,,,,31,,9,,,
Benin,26,,1,,5,20,,2,0.08,,
Gabon,24,,1,,1,22,,11,0.4,,
Haiti,24,,1,,,23,,2,0.09,247,22
Tanzania,24,,1,,3,20,,0.4,0.02,,
Myanmar,22,,1,,,21,,0.4,0.02,1246,23
Syria,19,,2,,2,15,,1,0.1,,
Libya,19,,1,,1,17,,3,0.1,312,45
Maldives,19,,,,13,6,,35,,,
Guinea-Bissau,18,,,,,18,,9,,,
New Caledonia,18,,,,1,17,,63,,2135,7478
Angola,16,,2,,2,12,,0.5,0.06,,
Equatorial Guinea,16,,,,3,13,,11,,854,609
Namibia,16,,,,3,13,,6,,362,142
Antigua and Barbuda,15,,,,,15,1,153,,40,408
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,1,,,,15,,17,,,
Mongolia,15,,,,4,11,,5,,,
Liberia,14,,3,,3,8,,3,0.6,,
Saint Lucia,14,,,,1,13,,76,,,
Curacao,13,,1,,5,7,,79,6,,
Sudan,12,,2,,2,8,,0.3,0.05,,
Grenada,12,,,,,12,2,107,,45,400
Laos,12,,,,,12,,2,,621,85
Greenland,11,,,,4,7,,194,,718,12648
Seychelles,11,,,,,11,,112,,,
